symbol,companyName,sectorName,instrumentType
ACLBSL,Aarambha Chautari Laghubitta Bittya Sanstha Limited,Microfinance,Equity
ADBL,Agricultural Development Bank Limited,Commercial Banks,Equity
ADBLB,Agricultural Development Bank Limited,Commercial Banks,Non-Convertible Debentures
ADBLB86,Agricultural Development Bank Limited,Commercial Banks,Non-Convertible Debentures
ADBLB87,Agricultural Development Bank Limited,Commercial Banks,Non-Convertible Debentures
ADBLD83,Agricultural Development Bank Limited,Commercial Banks,Non-Convertible Debentures
AHL,Asian Hydropower Limited,Hydro Power,Equity
AHPC,Arun Valley Hydropower Development Co. Ltd.,Hydro Power,Equity
AKJCL,Ankhu Khola Jalvidhyut Company Limited,Hydro Power,Equity
AKPL,Arun Kabeli Power Ltd.,Hydro Power,Equity
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity
ALICL,Asian Life Insurance Co Limited,Life Insurance,Equity
ANLB,Aatmanirbhar Laghubitta Bittitya Sanstha Limited,Microfinance,Equity
API,API POWER COMPANY LIMITED,Hydro Power,Equity
AVYAN,Aviyan laghubittya bittiya sanstha limited,Microfinance,Equity
BARUN,Barun Hydropower Co. Ltd.,Hydro Power,Equity
BBC,Bishal Bazar Company Limited,Tradings,Equity
BEDC,Bhugol Energy Development Company Ltd,Hydro Power,Equity
BFC,Best Finance Company Ltd.,Finance,Equity
BGWT,Bhagawati Hyropower Development Company Ltd.,Hydro Power,Equity
BHCL,Bikash Hydropower Company Ltd,Hydro Power,Equity
BHDC,Bindhyabasini Hydropower Development Company Limited,Hydro Power,Equity
BHL,Balephi Hydropower Limited,Hydro Power,Equity
BHPL,Barahi Hydropower Public Limited,Hydro Power,Equity
BNHC,Buddha bhumi nepal hydro power company limited,Hydro Power,Equity
BNL,Bottlers Nepal (Balaju) Limited,Manufacturing And Processing,Equity
BNT,Bottlers Nepal (Terai) Limited,Manufacturing And Processing,Equity
BOKD86,Bank of Kathmandu Ltd.,Commercial Banks,Non-Convertible Debentures
BOKD86KA,Bank of Kathmandu Ltd.,Commercial Banks,Non-Convertible Debentures
BPCL,Butwal Power Company Limited,Hydro Power,Equity
C30MF,Citizens Bank International Limited,Commercial Banks,Mutual Funds
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
CBLD88,Civil Bank Ltd,Commercial Banks,Non-Convertible Debentures
CCBD88,Century Commercial Bank Ltd.,Commercial Banks,Non-Convertible Debentures
CFCL,Central Finance Co. Ltd.,Finance,Equity
CGH,Chandragiri Hills Limited,Hotels And Tourism,Equity
CHCL,Chilime Hydropower Company Limited,Hydro Power,Equity
CHDC,CEDB Hydropower Development Company Limited,Investment,Equity
CHL,Chhyangdi Hydropower Ltd.,Hydro Power,Equity
CIT,Citizen Investment Trust,Investment,Equity
CITY,CITY HOTEL LIMITED ,Hotels And Tourism,Equity
CIZBD86,Citizens Bank International Limited,Commercial Banks,Non-Convertible Debentures
CIZBD90,Citizens Bank International Limited,Commercial Banks,Non-Convertible Debentures
CKHL,Chirkhwa Hydropower Limited,Hydro Power,Equity
CLI,Citizen Life Insurance Company Limited,Life Insurance,Equity
CMF2,CBIL Capital Limited,Mutual Fund,Mutual Funds
CORBL,Corporate Development Bank Limited,Development Banks,Equity
CREST,Crest Micro Life Insurance Limited,Life Insurance,Equity
CYCL,CYC Nepal laghubitta Bittiya Sanstha Limited,Microfinance,Equity
CZBIL,Citizens Bank International Limited,Commercial Banks,Equity
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
DHPL,Dibyashwori Hydropower Ltd.,Hydro Power,Equity
DLBS,Dhaulagiri laghubitta Sanstha Limited,Microfinance,Equity
DOLTI,Dolti Power Company Ltd.,Hydro Power,Equity
DORDI,Dordi Khola Jal Bidyut Company limited,Hydro Power,Equity
EBL,Everest Bank Limited,Commercial Banks,Equity
EBLD85,Everest Bank Limited,Commercial Banks,Non-Convertible Debentures
EBLD86,Everest Bank Limited,Commercial Banks,Non-Convertible Debentures
EBLD91,Everest Bank Limited,Commercial Banks,Non-Convertible Debentures
EBLEB89,Everest Bank Limited,Commercial Banks,Non-Convertible Debentures
EDBL,Excel Development Bank Ltd.,Development Banks,Equity
EHPL,Eastern Hydropower Limited,Hydro Power,Equity
ENL,Emerging nepal limited,Investment,Equity
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
GBBD85,Garima Bikas Bank Limited,Development Banks,Non-Convertible Debentures
GBBL,Garima Bikas Bank Limited,Development Banks,Equity
GBILD84/85,Global IME Bank Limited,Commercial Banks,Non-Convertible Debentures
GBILD86/87,Global IME Bank Limited,Commercial Banks,Non-Convertible Debentures
GBIME,Global IME Bank Limited,Commercial Banks,Equity
GBIMESY2,Global IME Bank Limited,Commercial Banks,Mutual Funds
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity
GCIL,Ghorahi Cement Industry Limited,Manufacturing And Processing,Equity
GFCL,Goodwill Finance Limited,Finance,Equity
GHL,Ghalemdi Hydro Limited,Hydro Power,Equity
GIBF1,Global IME Balanced Fund-1,Mutual Fund,Mutual Funds
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity
GLBSL,Gurans Laghubitta Bittiya Sanstha Ltd,Microfinance,Equity
GLH,Greenlife Hydropower Limited,Hydro Power,Equity
GMFBS,Ganapati Laghubitta Bittiya Sanstha Ltd,Microfinance,Equity
GMFIL,Guheswori Merchant Banking & Finance Ltd.,Finance,Equity
GMLI,GUARDIAN MICRO LIFE INSURANCE LIMITED,Life Insurance,Equity
GRDBL,Green Development Bank Ltd.,Development Banks,Equity
GSY,Garima Bikas Bank Limited,Development Banks,Mutual Funds
GUFL,Gurkhas Finance Ltd.,Finance,Equity
GVL,Green Ventures Limited,Hydro Power,Equity
GWFD83,Goodwill Finance Limited,Finance,Non-Convertible Debentures
H8020,Himalayan Bank Limited,Commercial Banks,Mutual Funds
HATHY,HATHWAY INVESTMENT NEPAL LIMITED,Investment,Equity
HBL,Himalayan Bank Limited,Commercial Banks,Equity
HBLD83,Himalayan Bank Limited,Commercial Banks,Non-Convertible Debentures
HBLD86,Himalayan Bank Limited,Commercial Banks,Non-Convertible Debentures
HDHPC,Himal Dolakha Hydropower Com. Ltd.,Hydro Power,Equity
HDL,Himalayan Distillery Limited,Manufacturing And Processing,Equity
HEI,Himalayan Everest Insurance Limited,Non Life Insurance,Equity
HHL,Himalayan Hydropower Limited,Hydro Power,Equity
HIDCL,Hydorelectricity Investment and Development Company Ltd,Investment,Equity
HIMSTAR,Himstar Urja Company Ltd.,Hydro Power,Equity
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
HLI,Himalayan Life Insurance Limited,Life Insurance,Equity
HPPL,Himalayan Power Partner Ltd.,Hydro Power,Equity
HRL,Himalayan Reinsurance Limited,Others,Equity
HURJA,Himalaya Urja Bikas Company Limited,Hydro Power,Equity
ICFC,ICFC Finance Limited,Finance,Equity
ICFCD83,ICFC Finance Limited,Finance,Non-Convertible Debentures
ICFCD88,ICFC Finance Limited,Finance,Non-Convertible Debentures
IGI,IGI Prudential Insurance Limited,Non Life Insurance,Equity
IHL,Ingwa Hydropower Limited,Hydro Power,Equity
ILBS,Infinity Laghubitta Bittiya Sastha Ltd,Microfinance,Equity
ILI,I.M.E. Life Insurance company Limited ,Life Insurance,Equity
JBBD87,Jyoti Bikas Bank Limited,Development Banks,Non-Convertible Debentures
JBBL,Jyoti Bikas Bank Limited,Development Banks,Equity
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Ltd,Microfinance,Equity
JFL,Janaki Finance Company Limited,Finance,Equity
JOSHI,Joshi Hydropower Development Company Ltd,Hydro Power,Equity
JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,Microfinance,Equity
KBL,Kumari Bank Limited,Commercial Banks,Equity
KBLD86,Kumari Bank Limited,Commercial Banks,Non-Convertible Debentures
KBLD89,Kumari Bank Limited,Commercial Banks,Non-Convertible Debentures
KBLD90,Kumari Bank Limited,Commercial Banks,Non-Convertible Debentures
KBSH,Kutheli Bukhari Small Hydropower Ltd,Hydro Power,Equity
KDBY,Kumari Bank Limited,Commercial Banks,Mutual Funds
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,Equity
KEF,Kumari Bank Limited,Commercial Banks,Mutual Funds
KKHC,Khanikhola Hydropower Co. Ltd.,Hydro Power,Equity
KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,Microfinance,Equity
KPCL,Kalika power Company Ltd,Hydro Power,Equity
KSBBL,Kamana Sewa Bikas Bank Limited,Development Banks,Equity
KSBBLD87,Kamana Sewa Bikas Bank Limited,Development Banks,Non-Convertible Debentures
KSY,Kumari Bank Limited,Commercial Banks,Mutual Funds
LBBL,Lumbini Bikas Bank Ltd.,Development Banks,Equity
LBBLD89,Lumbini Bikas Bank Ltd.,Development Banks,Non-Convertible Debentures
LBLD86,Laxmi Sunrise Bank Limited,Commercial Banks,Non-Convertible Debentures
LBLD88,Laxmi Sunrise Bank Limited,Commercial Banks,Non-Convertible Debentures
LEC,Liberty Energy Company Limited,Hydro Power,Equity
LICN,Life Insurance Corporation (Nepal) Limited,Life Insurance,Equity
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity
LSL,Laxmi Sunrise Bank Limited,Commercial Banks,Equity
LUK,Laxmi Capital Market Limited,Mutual Fund,Mutual Funds
LVF2,Laxmi Sunrise Bank Limited,Commercial Banks,Mutual Funds
MAKAR,Makar Jitumaya Suri Hydropower Ltd ,Hydro Power,Equity
MANDU,Mandu Hydropower Limited,Hydro Power,Equity
MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,Microfinance,Equity
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,Hydro Power,Equity
MBL,Machhapuchhre Bank Limited,Commercial Banks,Equity
MBLD2085,Machhapuchhre Bank Limited,Commercial Banks,Non-Convertible Debentures
MBLD87,Machhapuchhre Bank Limited,Commercial Banks,Non-Convertible Debentures
MBLEF,Machhapuchhre Bank Limited,Commercial Banks,Mutual Funds
MCHL,Menchhiyam Hydro Power Ltd,Hydro Power,Equity
MDB,Miteri Development Bank Limited,Development Banks,Equity
MEHL,Manakamana Engineering Hydropower Limited,Hydro Power,Equity
MEL,Modi Energy Limited,Hydro Power,Equity
MEN,Mountain Energy Nepal Limited,Hydro Power,Equity
MERO,Meromicrofinance Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity
MFIL,Manjushree Finance Ltd.,Finance,Equity
MFLD85,Manjushree Finance Ltd.,Finance,Non-Convertible Debentures
MHCL,Molung Hydropower Company Limited,Hydro Power,Equity
MHL,Mandakini Hydropower Limited,Hydro Power,Equity
MHNL,Mountain Hydro Nepal Limited,Hydro Power,Equity
MKCL,Muktinath Krishi Company Limited,Others,Equity
MKHC,Maya Khola Hydropower Company Limited,Hydro Power,Equity
MKHL,MaiKhola Hydropower Limited,Hydro Power,Equity
MKJC,Mailung Khola Jal Vidhyut Company Limited,Hydro Power,Equity
MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,Microfinance,Equity
MLBL,Mahalaxmi Bikas Bank Ltd.,Development Banks,Equity
MLBLD89,Mahalaxmi Bikas Bank Ltd.,Development Banks,Non-Convertible Debentures
MLBS,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
MLBSL,Mahila Laghubitta Bittiya Sanstha Ltd,Microfinance,Equity
MMF1,Mega  Bank Nepal Ltd.,Commercial Banks,Mutual Funds
MMKJL,Mathillo Mailun Khola Jalvidhyut Ltd.,Hydro Power,Equity
MNBBL,Muktinath Bikas Bank Ltd.,Development Banks,Equity
MND84/85,Muktinath Bikas Bank Ltd.,Development Banks,Non-Convertible Debentures
MNMF1,Muktinath Bikas Bank Ltd.,Development Banks,Mutual Funds
MPFL,Multipurpose Finance Company  Limited,Finance,Equity
MSHL,Mid solu Hydropower Limited,Hydro Power,Equity
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
NABBC,Narayani Development Bank Limited,Development Banks,Equity
NABIL,Nabil Bank Limited,Commercial Banks,Equity
NABILD87,Nabil Bank Limited,Commercial Banks,Non-Convertible Debentures
NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,Microfinance,Equity
NBBD2085,Nepal Bangladesh Bank Limited,Commercial Banks,Non-Convertible Debentures
NBF2,Nabil Bank Limited,Commercial Banks,Mutual Funds
NBF3,Nabil Bank Limited,Commercial Banks,Mutual Funds
NBL,Nepal Bank Limited,Commercial Banks,Equity
NBLD82,Nabil Bank Limited,Commercial Banks,Non-Convertible Debentures
NBLD85,Nabil Bank Limited,Commercial Banks,Non-Convertible Debentures
NBLD87,Nepal Bank Limited,Commercial Banks,Non-Convertible Debentures
NCCD86,Nepal Credit And Commercial Bank Limited,Commercial Banks,Non-Convertible Debentures
NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
NFS,Nepal Finance Ltd.,Finance,Equity
NGPL,Ngadi Group Power Ltd.,Hydro Power,Equity
NHDL,Nepal Hydro Developers Ltd,Hydro Power,Equity
NHPC,National Hydro Power Company Limited,Hydro Power,Equity
NIBD2082,Nepal Investment Mega Bank Limited,Commercial Banks,Non-Convertible Debentures
NIBD84,Nepal Investment Mega Bank Limited,Commercial Banks,Non-Convertible Debentures
NIBLGF,NIBL Growth Fund,Mutual Fund,Mutual Funds
NIBLSTF,Nepal Investment Mega Bank Limited,Commercial Banks,Mutual Funds
NIBSF2,Nepal Investment Mega Bank Limited,Commercial Banks,Mutual Funds
NICA,NIC Asia Bank Ltd.,Commercial Banks,Equity
NICAD2091,NIC Asia Bank Ltd.,Commercial Banks,Non-Convertible Debentures
NICAD8283,NIC Asia Bank Ltd.,Commercial Banks,Non-Convertible Debentures
NICAD85/86,NIC Asia Bank Ltd.,Commercial Banks,Non-Convertible Debentures
NICBF,NIC ASIA Capital Ltd,Mutual Fund,Mutual Funds
NICD83/84,NIC Asia Bank Ltd.,Commercial Banks,Non-Convertible Debentures
NICD88,NIC Asia Bank Ltd.,Commercial Banks,Non-Convertible Debentures
NICFC,NIC Asia Bank Ltd.,Commercial Banks,Mutual Funds
NICGF2,NIC Asia Bank Ltd.,Commercial Banks,Mutual Funds
NICL,Nepal Insurance Co. Ltd.,Non Life Insurance,Equity
NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
NICSF,NIC ASIA Capital Ltd,Mutual Fund,Mutual Funds
NIFRA,Nepal Infrastructure Bank Limited,Investment,Equity
NIFRAGED,Nepal Infrastructure Bank Limited,Investment,Non-Convertible Debentures
NIFRAUR85/86,Nepal Infrastructure Bank Limited,Investment,Non-Convertible Debentures
NIL,Neco Insurance Limited,Non Life Insurance,Equity
NIMB,Nepal Investment Mega Bank Limited,Commercial Banks,Equity
NIMBD90,Nepal Investment Mega Bank Limited,Commercial Banks,Non-Convertible Debentures
NLG,NLG Insurance Company Ltd.,Non Life Insurance,Equity
NLIC,NEPAL LIFE INSURANCE COMPANY LIMITED,Life Insurance,Equity
NLICL,National Life Insurance Co. Ltd.,Life Insurance,Equity
NLO,Nepal Lube Oil Limited,Manufacturing And Processing,Equity
NMB,NMB Bank Limited,Commercial Banks,Equity
NMB50,NMB Capital Ltd.,Mutual Fund,Mutual Funds
NMBD2085,NMB Bank Limited,Commercial Banks,Non-Convertible Debentures
NMBD87/88,NMB Bank Limited,Commercial Banks,Non-Convertible Debentures
NMBD89/90,NMB Bank Limited,Commercial Banks,Non-Convertible Debentures
NMBEB92/93,NMB Bank Limited,Commercial Banks,Non-Convertible Debentures
NMBHF2,NMB Bank Limited,Commercial Banks,Mutual Funds
NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,Microfinance,Equity
NMBUR93/94,NMB Bank Limited,Commercial Banks,Non-Convertible Debentures
NMFBS,National  Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
NMIC,Nepal Micro Insurance Company Limited,Non Life Insurance,Equity
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity
NRIC,Nepal Reinsurance Company Limited,Others,Equity
NRM,Nepal Republic Media Ltd,Others,Equity
NRN,NRN Infrastructure and Development Limited,Investment,Equity
NSIF2,NMB Capital Ltd.,Mutual Fund,Mutual Funds
NTC,Nepal Doorsanchar Company Limited,Others,Equity
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
NWCL,Nepal Warehousing Company Limited,Others,Equity
NYADI,Nyadi hydropower limited,Hydro Power,Equity
OHL,Oriental Hotels Limited,Hotels And Tourism,Equity
OMPL,Om Megashree Pharmaceuticals Limited,Manufacturing And Processing,Equity
PBD84,Prime Commercial Bank Ltd.,Commercial Banks,Non-Convertible Debentures
PBD85,Prime Commercial Bank Ltd.,Commercial Banks,Non-Convertible Debentures
PBD88,Prime Commercial Bank Ltd.,Commercial Banks,Non-Convertible Debentures
PBLD84,Prabhu  Bank Limited,Commercial Banks,Non-Convertible Debentures
PBLD86,Prabhu  Bank Limited,Commercial Banks,Non-Convertible Debentures
PBLD87,Prabhu  Bank Limited,Commercial Banks,Non-Convertible Debentures
PCBL,Prime Commercial Bank Ltd.,Commercial Banks,Equity
PFL,Pokhara Finance Ltd.,Finance,Equity
PHCL,Peoples Hydropower Company Limited,Hydro Power,Equity
PMHPL,Panchakanya Mai Hydropower Ltd,Hydro Power,Equity
PMLI,Prabhu Mahalaxmi Life Insurance Limited,Life Insurance,Equity
PPCL,Panchthar Power Company Ltd,Hydro Power,Equity
PPL,Peoples Power Limited,Hydro Power,Equity
PRIN,Prabhu Insurance Ltd.,Non Life Insurance,Equity
PROFL,Progressive Finance Limited,Finance,Equity
PRSF,Prabhu Capital Limited,Mutual Fund,Mutual Funds
PRVU,Prabhu  Bank Limited,Commercial Banks,Equity
PSF,Prabhu  Bank Limited,Commercial Banks,Mutual Funds
PURE,Pure Energy Limited,Others,Equity
RADHI,Radhi Bidyut Company Ltd,Hydro Power,Equity
RAWA,Rawa Energy Development Ltd.,Hydro Power,Equity
RBBD2088,Rastriya Banijya Bank,Commercial Banks,Non-Convertible Debentures
RBBD83,Rastriya Banijya Bank,Commercial Banks,Non-Convertible Debentures
RBCL,Rastriya Beema Company Limited,Non Life Insurance,Equity
RFPL,River Falls power Limited,Hydro Power,Equity
RHGCL,Rapti Hydro and General Construction Limited,Hydro Power,Equity
RHPL,Rasuwagadhi Hydropower Company Limited,Hydro Power,Equity
RIDI,Ridi Power Company Limited,Hydro Power,Equity
RLFL,Reliance Finance Ltd.,Finance,Equity
RMF1,RBB Merchant Banking Limited,Mutual Fund,Mutual Funds
RMF2,RBB Merchant Banking Limited,Mutual Fund,Mutual Funds
RNLI,Reliable Nepal Life Insurance Ltd,Life Insurance,Equity
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity
RSY,Reliable Nepal Life Insurance Ltd,Life Insurance,Mutual Funds
RURU,Ru Ru Jalbidhyut Pariyojana Limited,Hydro Power,Equity
SADBL,SHANGRI-LA DEVELOPMENT BANK LIMITED,Development Banks,Equity
SAGF,Sanima Growth Fund,Mutual Fund,Mutual Funds
SAHAS,Sahas Urja Limited,Hydro Power,Equity
SALICO,Sagarmatha Lumbini Insurance Co. Limited,Non Life Insurance,Equity
SAMAJ,Samaj Laghubitta Bittiya Sanstha Ltd,Microfinance,Equity
SAND2085,Sanima Bank Limited,Commercial Banks,Non-Convertible Debentures
SANIMA,Sanima Bank Limited,Commercial Banks,Equity
SANVI,Sanvi Energy Limited,Hydro Power,Equity
SAPDBL,Saptakoshi Development bank Ltd,Development Banks,Equity
SARBTM,Sarbottam Cement Limited,Manufacturing And Processing,Equity
SBCF,Sunrise Bank Limited,Commercial Banks,Mutual Funds
SBD87,Sanima Bank Limited,Commercial Banks,Non-Convertible Debentures
SBD89,Sanima Bank Limited,Commercial Banks,Non-Convertible Debentures
SBI,Nepal SBI Bank Limited,Commercial Banks,Equity
SBIBD86,Nepal SBI Bank Limited,Commercial Banks,Non-Convertible Debentures
SBID83,Nepal SBI Bank Limited,Commercial Banks,Non-Convertible Debentures
SBID89,Nepal SBI Bank Limited,Commercial Banks,Non-Convertible Debentures
SBL,Siddhartha Bank Limited,Commercial Banks,Equity
SBLD2082,Siddhartha Bank Limited,Commercial Banks,Non-Convertible Debentures
SBLD83,Siddhartha Bank Limited,Commercial Banks,Non-Convertible Debentures
SBLD84,Siddhartha Bank Limited,Commercial Banks,Non-Convertible Debentures
SBLD89,Siddhartha Bank Limited,Commercial Banks,Non-Convertible Debentures
SCB,Standard Chartered Bank  Nepal Limited,Commercial Banks,Equity
SCBD,Standard Chartered Bank  Nepal Limited,Commercial Banks,Non-Convertible Debentures
SDBD87,SHANGRI-LA DEVELOPMENT BANK LIMITED,Development Banks,Non-Convertible Debentures
SEF,Siddhartha Bank Limited,Commercial Banks,Mutual Funds
SFCL,Samriddhi Finance Company Limited,Finance,Equity
SFEF,Sunrise Capital Limited,Commercial Banks,Mutual Funds
SFMF,Laxmi Sunrise Bank Limited,Commercial Banks,Mutual Funds
SGHC,Swet-Ganga Hydropower and Construction Limited,Hydro Power,Equity
SGIC,Sanima GIC Insurance Limited,Non Life Insurance,Equity
SHEL,Singati Hydro Energy Ltd,Hydro Power,Equity
SHINE,SHINE RESUNGA DEVELOPMENT BANK LTD,Development Banks,Equity
SHIVM,Shivam Cements Limited,Manufacturing And Processing,Equity
SHL,Soaltee Hotel Limited,Hotels And Tourism,Equity
SHLB,Shrijanshil Laghubitta Baittiya sanstha Limited,Microfinance,Equity
SHPC,Sanima Mai Hydropower Limited,Hydro Power,Equity
SICL,Shikhar Insurance Co. Ltd.,Non Life Insurance,Equity
SIFC,Shree Investment Finance Co. Ltd.,Finance,Equity
SIGS2,Siddhartha Bank Limited,Commercial Banks,Mutual Funds
SIGS3,Siddhartha Bank Limited,Commercial Banks,Mutual Funds
SIKLES,Sikles Hydropower Limited,Hydro Power,Equity
SINDU,Sindhu Bikash Bank Ltd,Development Banks,Equity
SJCL,SANJEN JALAVIDHYUT COMPANY LTD,Hydro Power,Equity
SJLIC,SuryaJyoti Life Insurance Company Limited,Life Insurance,Equity
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
SLCF,Sanima Bank Limited,Commercial Banks,Mutual Funds
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
SMB,Support Lagubitta Bittiya Sanstha Limited,Microfinance,Equity
SMFBS,Swabhumaan Laghubitta Bittiya Sanstha Ltd,Microfinance,Equity
SMH,Supermai Hydropower Limited,Hydro Power,Equity
SMHL,Super Madi Hydropower Limited,Hydro Power,Equity
SMJC,Sagarmatha Jalabidhyut Company Limited,Hydro Power,Equity
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
SNLI,Sun Nepal Life Insurance Company Limited,Life Insurance,Equity
SONA,Sonapur Minerals And Oil Limited,Manufacturing And Processing,Equity
SPC,Samling power company limited,Hydro Power,Equity
SPDL,Synergy Power Development Ltd.,Hydro Power,Equity
SPHL,Sayapatri Hydropower Limited,Hydro Power,Equity
SPIL,Siddhartha Premier Insurance Limited,Non Life Insurance,Equity
SPL,SHUVAM POWER LIMITED,Hydro Power,Equity
SRBLD83,Sunrise Bank Limited,Commercial Banks,Non-Convertible Debentures
SRLI,Sanima Reliance Life Insurance Limited,Life Insurance,Equity
SSHL,Shiva Shree Hydropower Limited,Hydro Power,Equity
STC,Salt Trading Corporation,Tradings,Equity
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydro Power,Equity
TPC,Terhathum Power Company Limited,Hydro Power,Equity
TRH,Taragaon Regency Hotel Limited,Hotels And Tourism,Equity
TSHL,Three Star Hydropower Ltd,Hydro Power,Equity
TTL,Trade Tower Limited,Others,Equity
TVCL,Trishuli Jal Vidhyut Company Limited ,Hydro Power,Equity
UAIL,United Ajod Insurance Limited,Non Life Insurance,Equity
UHEWA,Upper Hewakhola Hydropower company Limited,Hydro Power,Equity
ULBSL,Upakar Laghubitta Bittiya  Sanstha  Limited,Microfinance,Equity
ULHC,Upper Lohore Khola Hydropower Company Limited,Hydro Power,Equity
UMHL,United Modi Hydropower Ltd.,Hydro Power,Equity
UMRH,United Idi Mardi & RB Hydropower Ltd,Hydro Power,Equity
UNHPL,Union Hydropower Limited,Hydro Power,Equity
UNL,Unilever Nepal Limited,Manufacturing And Processing,Equity
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
UPCL,Universal Power Company Limited,Hydro Power,Equity
UPPER,Upper Tamakoshi Hydropower Ltd,Hydro Power,Equity
USHEC,Upper solu Electric company Limited,Hydro Power,Equity
USHL, Upper Syange Hydropower Limited,Hydro Power,Equity
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,Equity
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity
